Jahr;CDU_bis2014_x;CDU_bis2014_y;CDU_ab2014_x;CDU_ab2014_y;SPD_bis2014_x;SPD_bis2014_y;SPD_ab2014_x;SPD_ab2014_y;Linke_bis2014_x;Linke_bis2014_y;Linke_ab2014_x;Linke_ab2014_y;Gruene_bis2014_x;Gruene_bis2014_y;Gruene_ab2014_x;Gruene_ab2014_y;FDP_bis2014_x;FDP_bis2014_y;FDP_ab2014_x;FDP_ab2014_y;AfD_bis2014_x;AfD_bis2014_y;AfD_ab2014_x;AfD_ab2014_y
1990;-0,38;-0,38;;;;;;;;;;;-0,60;-0,81;;;-0,08;-0,79;;;;;;
1994;-0,15;-0,08;;;-0,32;-0,46;;;-0,63;-0,74;;;-0,50;-0,87;;;0,47;-0,65;;;;;;
1999;-0,31;-0,07;;;-0,17;0,11;;;;;;;-0,37;-0,64;;;;;;;;;;
2004;-0,14;0,06;;;-0,06;-0,39;;;;;;;-0,30;-0,70;;;0,17;-0,03;;;;;;
2009;-0,26;0,21;;;-0,32;-0,29;;;-0,37;-0,71;;;-0,49;-0,70;;;0,16;-0,33;;;;;;
2014;-0,06;0,12;-0,06;0,12;-0,39;-0,43;-0,39;-0,43;-0,42;-0,71;-0,42;-0,71;-0,50;-0,83;-0,50;-0,83;0,21;-0,52;0,21;-0,52;0,13;-0,16;0,13;-0,16
2019;;;0,14;-0,09;;;-0,45;-0,33;;;-0,50;-0,52;;;-0,53;-0,71;;;0,43;-0,35;;;-0,09;0,08
2024;;;0,06;-0,00;;;-0,31;-0,34;;;-0,58;-0,55;;;-0,47;-0,53;;;0,43;-0,47;;;0,12;-0,04
