AfD_x;AfD_y;CDU_x;CDU_y;FDP_x;FDP_y;Gruene_x;Gruene_y;SPD_x;SPD_y;Linke_x;Linke_y
-0,136;0,371;-0,559;0,040;0,135;-0,788;-0,778;-0,962;-0,714;-0,326;-0,947;-0,958
-0,304;0,196;-0,396;-0,028;0,290;-0,403;-0,625;-0,846;-0,621;-0,308;-0,831;-0,607
-0,320;0,132;-0,423;-0,039;0,088;-0,583;-0,875;-0,850;-0,736;-0,348;-0,967;-0,642
-0,136;0,371;-0,559;0,040;0,135;-0,788;-0,778;-0,962;-0,714;-0,326;-0,947;-0,958

Partei;CHES_x;CHES_y
AfD;0,400;0,905
CDU/CSU;0,181;0,171
FDP;0,581;-0,314
Gruene;-0,238;-0,781
SPD;-0,257;-0,324
Linke;-0,743;-0,438
